Chave,Latitude,Longitude
SANTANA DE PARNAIBA - SP,-23.4446715,-46.9167722
RESERVA - PR,-24.6545336,-50.8484432
JUINA - MT,-11.4230908,-58.7570212
TATUI - SP,-23.3489848,-47.8490165
SERRA DE SAO BENTO - RN,-6.4169271,-35.70478
COLOMBO - PR,-25.2925439,-49.2243472
LIMEIRA - SP,-22.5615068,-47.401766
ITANHAEM - SP,-24.1833421,-46.7896229
ITAPETINGA - BA,-15.2454478,-40.2460053
ITAPEVI - SP,-23.54888,-46.933889
SANTA MARIA - DF,-16.0171229,-48.0131328
FERRAZ DE VASCONCELO - SP,,
CAPELA DO ALTO - SP,-23.4704798,-47.7352309
NITEROI - RJ,-22.8884,-43.1147
FRAIBURGO - SC,-27.023288,-50.919978
ALMENARA - MG,-16.1753775,-40.6916675
PONTA GROSSA - PR,-25.0891685,-50.1601812
ITUIUTABA - MG,-18.9921507,-49.4455477
CAFEZAL DO SUL - PR,-23.900508,-53.512418
PARNAIBA - PI,-2.9147515,-41.7661953
URANDI - BA,-14.7680766,-42.6573988
PAULISTA - PE,-7.9340069,-34.868407
MAIRIPORA - SP,-23.3190348,-46.5876377
CONSELHEIRO LAFAIETE - MG,-20.6596107,-43.785743
ARAQUARI - SC,-26.3703324,-48.7210994
CAPARAO - MG,-20.5232726,-41.9049984
VERA CRUZ - RS,-29.7157235,-52.5007403
POCO BRANCO - RN,-5.6224378,-35.6615774
ORIXIMINA - PA,-1.7669992,-55.868285
LAURO DE FREITAS - BA,-12.89242,-38.3127691
IMBE - RS,-29.975269,-50.128068
UNAI - MG,-16.3628767,-46.892413
ALIANCA - PE,-7.6026425,-35.2263514
MINDURI - MG,-21.6817218,-44.6036995
IBAITI - PR,-23.8452962,-50.1905666
BIRIGUI - SP,-21.2908491,-50.34144
ATIBAIA - SP,-23.1177393,-46.5547861
SANTANA - BA,-12.979217,-44.05064
CASTANHAL - PA,-1.2927031,-47.9223903
JUAREZ TAVORA - PB,-7.1726926,-35.590804
SALTO - SP,-23.1989983,-47.2913682
CIDADE OCIDENTAL - GO,-16.1000758,-47.9445014
CORRENTE - PI,-10.3947466,-45.1168986
RIO BONITO - RJ,-22.7108378,-42.6271864
CACHOEIRAS DE MACACU - RJ,-22.4626861,-42.6534414
PARAUAPEBAS - PA,-6.0696846,-49.8903283
FERRAZ DE VASCONCELOS - SP,-23.541056,-46.37097
SARDOA - MG,-18.781716,-42.3652762
PAULO AFONSO - BA,-9.3991006,-38.226711
VALINHOS - SP,-22.97056,-46.99583
CAICO - RN,-6.4594544,-37.0971911
VILA VELHA - ES,-20.3297037,-40.2920174
JACAREI - SP,-23.3050682,-45.9723075
PIEDADE - SP,-23.7074096,-47.4252319
QUEIMADOS - RJ,-22.7156978,-43.555754
SAO CAETANO DO SUL - SP,-23.6195923,-46.5688323
CUBATAO - SP,-23.8857982,-46.4241869
BANDEIRANTES - PR,-23.107788,-50.370407
SAO LOURENCO DA MATA - PE,-7.9959607,-35.039335
PINDAMONHANGABA - SP,-22.9364,-45.4622602
SANTA BARBARA D' OESTE - SP,-22.7542539,-47.4137884
PETROLINA - PE,-9.3817334,-40.4968875
SAO MATEUS DO MARANHAO - MA,-4.0289169,-44.4667342
CAPIVARI DE BAIXO - SC,-28.449773,-48.963144
ELDORADO PAULISTA - SP,-24.3820267,-47.9261549
CIDREIRA - RS,-30.1657063,-50.218331
BURITICUPU - MA,-4.3227472,-46.4516989
TIMOTEO - MG,-19.5771395,-42.6436108
JAPERI - RJ,-22.6427642,-43.6533831
MONTE AZUL - MG,-15.1531999,-42.8711742
IJUI - RS,-28.3878734,-53.9201692
BARRA DO TURVO - SP,-24.756421,-48.5056942
LOANDA - PR,-22.9320944,-53.1352452
PRESIDENTE PRUDENTE - SP,-22.1225167,-51.3882528
ITAPETININGA - SP,-23.588607,-48.048326
PONTES E LACERDA - MT,-15.2315171,-59.3349512
MACEIO - AL,-9.6476843,-35.7339264
CAMPINORTE - GO,-14.3104574,-49.1552173
SAO GONCALO DO AMARANTE - RN,-5.7932331,-35.3286312
SANTANA DO LIVRAMENT - RS,,
PACO DO LUMIAR - MA,-2.5329055,-44.1591965
SUZANO - SP,-23.5427842,-46.3108391
BRUSQUE - SC,-27.0964628,-48.9136323
TIROS - MG,-19.003889,-45.963611
EUNAPOLIS - BA,-16.3766148,-39.586449
